title,company,url,location,career,education,salary_etc,job_category,due_date
테블로(Tableau) 데이터 시각화 분석 전문가,(주)피비스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52011971&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=91b3c2aa-4dac-4c83-aabc-8b094ba7acb9,서울강남구,신입·경력,N/A,대졸↑,"데이터엔지니어, 데이터분석가, 데이터시각화, 데이터 사이언티스트, Python",N/A
"연구과제참여 - AI기반 의료 데이터(Image, EMR) 분석 채용 공고",서울대학교병원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52259147&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=91b3c2aa-4dac-4c83-aabc-8b094ba7acb9,서울종로구,신입·경력,N/A,대졸↑,"AI(인공지능), Python, 머신러닝, 종합병원",~ 12/08(월)
"ㅡ연구과제참여 - AI기반 의료 데이터(Image, EMR) 분석 채용",서울대학교병원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52259149&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=91b3c2aa-4dac-4c83-aabc-8b094ba7acb9,서울종로구,신입·경력,N/A,대졸↑,"AI(인공지능), Python, 머신러닝, 종합병원",~ 12/08(월)
[데이터컨설턴트]고객 문제 정의부터 분석까지 리딩할 인재 모집,(주)데이터마케팅코리아,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52011551&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=91b3c2aa-4dac-4c83-aabc-8b094ba7acb9,서울강남구,경력3년↑,N/A,대졸↑,"데이터분석가, 데이터분석, 데이터시각화, 데이터마이닝, 데이터 사이언티스트",N/A
데이터 투자분석 파이썬 하시는 분 구합니다 파트타임 가능,제이투케이,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52101096&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울서초구,경력무관,N/A,학력무관,"데이터엔지니어, 데이터분석가, SI·시스템통합",~ 11/20(목)
데이터/신호 분석가 채용,(주)코아칩스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52242513&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,경기수원시,신입·경력,N/A,석사↑,"연구원, R&D, 기술연구, 전자파, 전기설계",~ 12/06(토)
[Catalyst] 분석 및 데이터 사업관련 영업전문가,콘센트릭스서비스코리아(유),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52117661&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울용산구,경력10년↑,N/A,학력무관,"IT컨설팅, ICT컨설팅, 영업, IT컨설팅",~ 11/30(일)
분석 및 데이터 사업관련 영업전문가[차장~이사],프로페셔날핸즈인핸즈코리아(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52206563&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울강남구,경력 10~20년,N/A,대졸↑,"데이터분석가, Python, SQL, 솔루션기술영업, 시스템영업",~ 11/18(화)
[Global Company] 분석 및 데이터 사업관련 영업 전문가,제이앤피에이치알컨설팅,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52201628&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울강남구,경력 10~20년,N/A,대졸↑,"신사업기획, 서비스기획, 앱기획, 웹기획, IT컨설팅",~ 11/18(화)
[노벨리스코리아/서울]Supply Chain Business Data Analyst,노벨리스코리아(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52249634&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울중구,경력 10~15년,N/A,대졸↑,"SCM, 금속, 금속재료, 제철",~ 12/07(일)
